iter	Passed	Remaining
0	153	153691
1	154	77320
2	156	51894
3	157	39146
4	158	31483
5	159	26356
6	159	22693
7	160	19963
8	161	17836
9	163	16142
10	163	14740
11	164	13580
12	166	12620
13	167	11787
14	168	11084
15	169	10445
16	170	9884
17	171	9382
18	173	8932
19	173	8523
20	174	8155
21	175	7821
22	177	7520
23	178	7244
24	179	6992
25	180	6764
26	181	6549
27	182	6351
28	184	6161
29	185	5985
30	186	5820
31	187	5665
32	188	5522
33	189	5383
34	190	5253
35	191	5128
36	192	5013
37	193	4903
38	194	4801
39	195	4702
40	197	4608
41	198	4518
42	199	4430
43	200	4347
44	201	4266
45	202	4189
46	202	4115
47	203	4045
48	204	3976
49	205	3911
50	206	3847
51	207	3788
52	208	3733
53	210	3681
54	211	3630
55	212	3578
56	213	3527
57	214	3478
58	215	3433
59	216	3387
60	217	3344
61	218	3299
62	219	3258
63	219	3217
64	221	3179
65	222	3143
66	223	3112
67	224	3072
68	225	3041
69	226	3010
70	227	2978
71	228	2945
72	229	2915
73	230	2886
74	231	2855
75	232	2827
76	233	2799
77	234	2771
78	235	2747
79	237	2727
80	238	2710
81	240	2686
82	241	2664
83	242	2639
84	242	2613
85	243	2590
86	244	2564
87	245	2542
88	246	2522
89	247	2502
90	248	2482
91	249	2463
92	250	2445
93	251	2428
94	253	2412
95	254	2393
96	255	2374
97	256	2357
98	257	2339
99	257	2321
100	258	2304
101	259	2283
102	260	2267
103	261	2250
104	262	2234
105	263	2218
106	264	2203
107	265	2189
108	266	2176
109	267	2161
110	268	2147
111	269	2133
112	270	2119
113	270	2106
114	272	2093
115	272	2079
116	273	2066
117	274	2054
118	275	2040
119	276	2028
120	277	2016
121	278	2004
122	279	1989
123	279	1977
124	280	1966
125	281	1954
126	282	1942
127	283	1928
128	283	1917
129	284	1905
130	285	1895
131	286	1884
132	287	1873
133	288	1862
134	288	1851
135	289	1841
136	290	1831
137	291	1820
138	292	1811
139	293	1801
140	294	1792
141	295	1783
142	295	1773
143	296	1763
144	297	1754
145	298	1745
146	299	1735
147	299	1726
148	300	1717
149	301	1708
150	302	1699
151	303	1690
152	303	1682
153	304	1674
154	305	1665
155	306	1658
156	307	1650
157	308	1643
158	309	1635
159	310	1628
160	311	1620
161	311	1613
162	312	1605
163	313	1597
164	314	1590
165	315	1582
166	315	1575
167	316	1568
168	317	1560
169	318	1553
170	318	1546
171	319	1539
172	320	1532
173	321	1526
174	322	1520
175	323	1513
176	324	1506
177	324	1500
178	325	1493
179	326	1486
180	326	1478
181	327	1471
182	328	1465
183	329	1459
184	329	1453
185	330	1447
186	331	1441
187	332	1435
188	333	1429
189	334	1424
190	335	1419
191	335	1413
192	336	1408
193	337	1402
194	338	1397
195	339	1391
196	340	1386
197	340	1380
198	341	1375
199	342	1369
200	343	1364
201	343	1358
202	344	1353
203	345	1348
204	346	1343
205	347	1338
206	348	1333
207	349	1329
208	349	1324
209	350	1319
210	351	1315
211	352	1310
212	353	1305
213	354	1300
214	354	1295
215	355	1291
216	356	1286
217	357	1281
218	358	1277
219	358	1272
220	359	1267
221	360	1263
222	361	1258
223	362	1254
224	362	1250
225	363	1246
226	364	1242
227	365	1238
228	366	1234
229	367	1230
230	368	1226
231	369	1222
232	370	1218
233	370	1214
234	371	1210
235	372	1206
236	373	1202
237	374	1198
238	375	1194
239	375	1190
240	376	1186
241	377	1183
242	378	1179
243	379	1175
244	380	1171
245	381	1168
246	381	1164
247	382	1160
248	383	1156
249	384	1153
250	385	1149
251	385	1145
252	386	1142
253	387	1138
254	388	1134
255	389	1131
256	390	1128
257	391	1124
258	392	1121
259	392	1118
260	393	1114
261	394	1111
262	395	1107
263	396	1104
264	397	1101
265	397	1097
266	398	1094
267	399	1090
268	400	1087
269	400	1083
270	401	1080
271	402	1076
272	403	1073
273	404	1070
274	405	1068
275	406	1065
276	407	1063
277	408	1060
278	409	1057
279	410	1054
280	410	1051
281	411	1048
282	412	1045
283	413	1043
284	414	1039
285	415	1037
286	416	1034
287	417	1031
288	417	1028
289	418	1025
290	419	1022
291	420	1019
292	421	1017
293	422	1014
294	423	1011
295	423	1008
296	424	1005
297	425	1002
298	426	999
299	427	996
300	428	994
301	428	991
302	429	988
303	430	985
304	431	983
305	432	980
306	433	978
307	434	976
308	435	974
309	436	971
310	437	969
311	438	967
312	439	964
313	440	962
314	441	959
315	442	957
316	443	955
317	444	952
318	445	950
