iter	Passed	Remaining
0	139	139141
1	140	70342
2	142	47347
3	143	35842
4	145	29040
5	147	24412
6	148	21126
7	150	18702
8	152	16799
9	154	15261
10	155	13974
11	156	12909
12	158	12018
13	159	11262
14	161	10626
15	163	10041
16	165	9581
17	168	9169
18	169	8754
19	170	8373
20	172	8030
21	174	7738
22	175	7462
23	177	7205
24	178	6976
25	182	6832
26	184	6641
27	185	6450
28	187	6281
29	189	6112
30	190	5960
31	192	5808
32	193	5668
33	196	5593
34	198	5467
35	199	5352
36	201	5244
37	203	5140
38	204	5046
39	206	4951
40	207	4857
41	209	4781
42	211	4708
43	213	4628
44	214	4549
45	216	4485
46	218	4425
47	219	4356
48	221	4297
49	224	4256
50	225	4194
51	226	4134
52	228	4077
53	229	4019
54	231	3978
55	232	3927
56	234	3877
57	235	3832
58	237	3787
59	238	3743
60	240	3700
61	241	3659
62	243	3623
63	248	3628
64	250	3600
65	251	3561
66	253	3523
67	254	3487
68	255	3452
69	257	3420
70	259	3393
71	263	3397
72	266	3378
73	267	3348
74	268	3316
75	270	3287
76	272	3264
77	273	3238
78	275	3211
79	279	3215
80	280	3186
81	282	3161
82	283	3129
83	284	3103
84	286	3083
85	287	3060
86	289	3038
87	293	3039
88	294	3018
89	296	2995
90	297	2973
91	299	2953
92	300	2934
93	302	2916
94	304	2898
95	306	2885
96	308	2869
97	309	2852
98	311	2834
99	313	2819
100	314	2803
101	317	2796
102	319	2779
103	322	2774
104	323	2759
105	325	2743
106	326	2726
107	328	2709
108	329	2695
109	331	2679
110	333	2668
111	335	2657
112	338	2660
113	340	2646
114	342	2632
115	343	2617
116	344	2600
117	347	2595
118	351	2604
119	354	2602
120	356	2589
121	357	2574
122	359	2560
123	363	2566
124	364	2554
125	368	2557
126	370	2545
127	372	2534
128	373	2523
129	376	2521
130	380	2521
131	384	2526
132	385	2514
133	387	2502
134	388	2491
135	390	2481
136	392	2472
137	394	2467
138	397	2465
139	399	2453
140	400	2442
141	402	2429
142	403	2418
143	405	2409
144	407	2400
145	408	2391
146	410	2384
147	413	2378
148	414	2369
149	416	2360
150	418	2351
151	420	2344
152	422	2336
153	423	2328
154	425	2319
155	428	2316
156	429	2307
157	432	2303
158	434	2296
159	436	2289
160	437	2278
161	438	2269
162	440	2263
163	444	2263
164	446	2259
165	449	2257
166	451	2249
167	452	2243
168	454	2235
169	457	2231
170	461	2237
171	463	2233
172	465	2226
173	467	2220
174	469	2212
175	471	2207
176	474	2207
177	476	2202
178	478	2196
179	480	2189
180	483	2186
181	485	2183
182	490	2188
183	493	2186
184	495	2183
185	497	2177
186	499	2171
187	503	2175
188	505	2168
189	507	2162
190	509	2157
191	512	2157
192	514	2152
193	518	2153
194	520	2149
195	522	2142
196	523	2135
197	525	2129
198	529	2131
199	536	2145
200	538	2139
201	540	2133
202	541	2127
203	544	2122
204	553	2145
205	555	2139
206	556	2132
207	558	2126
208	560	2120
209	565	2125
210	567	2123
211	569	2117
212	572	2114
213	573	2107
214	576	2103
215	581	2109
216	583	2104
217	584	2097
218	586	2092
219	590	2093
220	597	2106
221	599	2101
222	601	2096
223	603	2091
224	606	2087
225	612	2096
226	613	2090
227	615	2085
228	617	2080
229	619	2075
230	625	2081
231	627	2076
232	629	2072
233	631	2066
234	634	2064
235	637	2064
236	641	2064
237	643	2059
238	644	2052
239	646	2047
240	648	2042
241	651	2041
242	655	2042
243	657	2037
244	659	2031
245	661	2026
246	662	2021
247	664	2015
248	668	2016
249	671	2014
250	673	2010
251	675	2005
252	677	1999
253	678	1993
254	680	1987
255	684	1989
256	687	1987
257	688	1981
258	691	1977
259	693	1972
260	695	1967
261	699	1970
262	702	1967
263	704	1962
264	707	1961
265	709	1958
266	713	1959
267	717	1959
268	719	1955
269	721	1950
270	723	1945
271	726	1943
272	731	1946
273	733	1943
274	735	1937
275	736	1932
276	738	1927
277	740	1922
278	745	1927
279	748	1925
280	750	1920
281	752	1915
282	754	1910
283	755	1905
284	761	1909
285	763	1905
286	764	1900
287	766	1895
288	768	1890
289	769	1885
290	774	1887
291	778	1886
292	779	1881
293	781	1876
294	782	1871
295	784	1865
296	786	1861
297	789	1860
298	791	1855
299	792	1849
300	794	1844
301	796	1839
302	797	1834
303	799	1829
304	801	1825
305	806	1829
306	808	1824
307	809	1819
308	811	1814
309	812	1809
310	814	1804
311	816	1800
312	822	1806
313	824	1801
314	826	1796
315	827	1792
316	829	1787
317	832	1784
318	836	1785
319	838	1780
320	839	1776
321	841	1771
322	842	1766
323	844	1762
324	846	1758
325	852	1761
326	853	1757
327	855	1752
328	857	1747
329	860	1746
330	862	1742
331	867	1744
332	869	1740
333	871	1737
334	875	1738
335	881	1742
336	892	1756
337	898	1760
338	907	1770
339	913	1772
340	916	1771
341	918	1767
342	921	1764
343	924	1762
344	929	1764
345	933	1764
346	936	1761
347	938	1758
348	953	1777
349	955	1775
350	962	1779
351	964	1776
352	966	1772
353	969	1768
354	980	1781
355	985	1783
356	988	1780
357	995	1785
358	1002	1790
359	1007	1790
360	1012	1792
361	1017	1793
362	1021	1791
363	1025	1791
364	1028	1790
365	1031	1786
366	1036	1787
367	1040	1787
368	1042	1782
369	1044	1778
370	1047	1775
371	1055	1782
372	1058	1778
373	1060	1774
374	1061	1769
375	1063	1765
376	1067	1764
377	1070	1760
378	1071	1756
379	1073	1751
380	1075	1747
381	1078	1744
382	1087	1751
383	1091	1750
384	1094	1747
385	1101	1751
386	1105	1750
387	1107	1747
388	1110	1743
389	1116	1745
390	1119	1743
391	1122	1740
392	1124	1736
393	1126	1732
394	1135	1739
395	1137	1734
396	1139	1730
397	1142	1728
398	1150	1732
399	1152	1728
400	1154	1724
401	1156	1719
402	1157	1715
403	1162	1714
404	1164	1710
405	1167	1708
406	1169	1703
407	1170	1698
408	1172	1694
409	1178	1696
410	1180	1692
411	1182	1687
412	1184	1683
413	1186	1679
414	1188	1674
415	1193	1676
416	1196	1672
417	1200	1672
418	1203	1668
419	1206	1666
420	1209	1663
421	1211	1659
422	1213	1655
423	1220	1657
424	1225	1657
425	1227	1653
426	1229	1650
427	1231	1645
428	1233	1641
429	1240	1644
430	1245	1643
431	1247	1640
432	1249	1636
433	1254	1635
434	1256	1632
435	1258	1627
436	1263	1628
437	1265	1624
438	1270	1623
439	1273	1620
440	1277	1619
441	1281	1617
442	1284	1615
443	1289	1614
444	1291	1610
445	1293	1606
446	1295	1602
447	1296	1597
448	1301	1597
449	1307	1598
450	1309	1594
451	1311	1590
452	1318	1591
453	1324	1592
454	1326	1588
455	1328	1584
456	1335	1586
457	1337	1583
458	1340	1580
459	1342	1575
460	1344	1572
461	1349	1571
462	1351	1566
463	1353	1563
464	1355	1559
465	1356	1554
466	1358	1550
467	1364	1550
468	1367	1547
469	1368	1543
470	1370	1539
471	1372	1535
472	1377	1534
473	1380	1531
474	1382	1528
475	1384	1523
476	1385	1519
477	1387	1515
478	1388	1510
479	1395	1512
480	1397	1508
481	1399	1504
482	1401	1499
483	1403	1495
484	1408	1495
485	1412	1494
486	1414	1490
487	1416	1486
488	1417	1481
489	1421	1479
490	1424	1476
491	1427	1474
492	1429	1469
493	1430	1465
494	1432	1461
495	1434	1457
496	1437	1454
497	1439	1451
498	1441	1447
499	1443	1443
500	1445	1439
501	1446	1435
502	1448	1431
503	1455	1432
504	1457	1428
505	1459	1424
506	1461	1420
507	1463	1417
508	1469	1417
509	1470	1413
510	1472	1409
511	1474	1405
512	1476	1401
513	1477	1397
514	1483	1396
515	1485	1393
516	1487	1389
517	1488	1385
518	1490	1381
519	1492	1377
520	1494	1373
521	1500	1374
522	1502	1370
523	1503	1366
524	1505	1362
525	1507	1358
526	1510	1355
527	1516	1355
528	1518	1351
529	1520	1348
530	1521	1344
531	1524	1340
532	1526	1337
533	1529	1334
534	1530	1330
535	1532	1326
536	1534	1322
537	1535	1319
538	1539	1317
539	1541	1313
540	1546	1311
541	1548	1308
542	1550	1304
543	1554	1303
544	1556	1299
545	1560	1297
546	1562	1294
547	1564	1290
548	1567	1287
549	1570	1285
550	1574	1282
551	1576	1279
552	1578	1275
553	1579	1271
554	1581	1268
555	1583	1264
556	1589	1264
557	1591	1261
558	1593	1257
559	1595	1253
560	1598	1250
561	1603	1249
562	1606	1246
563	1607	1242
564	1609	1239
565	1616	1239
566	1620	1237
567	1622	1233
568	1624	1230
569	1627	1227
570	1629	1224
571	1634	1222
572	1636	1219
573	1638	1215
574	1640	1212
575	1644	1210
576	1645	1206
577	1651	1205
578	1653	1202
579	1656	1199
580	1659	1196
581	1660	1192
582	1664	1190
583	1666	1187
584	1668	1183
585	1670	1179
586	1672	1176
587	1674	1173
588	1675	1169
589	1677	1165
590	1682	1164
591	1684	1161
592	1687	1158
593	1689	1154
594	1690	1150
595	1692	1147
596	1699	1147
597	1701	1144
598	1703	1140
599	1705	1137
600	1707	1133
601	1710	1130
602	1713	1128
603	1715	1124
604	1717	1121
605	1719	1117
606	1720	1114
607	1722	1110
608	1728	1109
609	1730	1106
610	1732	1102
611	1734	1099
612	1736	1096
613	1744	1096
614	1746	1093
615	1748	1089
616	1750	1086
617	1754	1084
618	1758	1082
619	1760	1078
620	1761	1075
621	1763	1071
622	1765	1068
623	1766	1064
624	1772	1063
625	1775	1060
626	1777	1057
627	1779	1053
628	1780	1050
629	1782	1046
630	1787	1045
631	1791	1043
632	1793	1040
633	1795	1036
634	1797	1033
635	1799	1030
636	1804	1028
637	1807	1025
638	1809	1022
639	1811	1018
640	1813	1015
641	1816	1012
642	1823	1012
643	1825	1009
644	1837	1011
645	1839	1007
646	1842	1005
647	1846	1002
